Make,Model,Year,Vehicle_Type,Battery_Capacity_kWh,Battery_Health_%,Range_km,Charging_Power_kW,Charging_Time_hr,Charge_Cycles,Energy_Consumption_kWh_per_100km,Mileage_km,Avg_Speed_kmh,Temperature_C
Nissan,Leaf,2021,SUV,101.7,75.5,565,153.6,0.82,1438,12.76,117727,53.4,-9
Nissan,Leaf,2020,Sedan,30.1,99.8,157,157.2,0.27,1056,15.79,161730,58,1.6
Hyundai,Kona Electric,2021,SUV,118.5,84,677,173.6,0.84,1497,24.34,244931,69.4,1.5
Audi,Q4 e-tron,2022,Hatchback,33.1,97.3,149,169.3,0.25,1613,14.7,57995,42.9,12.5
Tesla,Model 3,2022,Truck,81.3,85.6,481,212.8,0.43,1078,22.77,17185,97.6,-3
Hyundai,Ioniq 5,2021,Sedan,68.1,81.8,312,14.4,6.31,591,21.48,134312,72.4,-4.2
Ford,F-150 Lightning,2016,Sedan,38.6,81.1,206,170.2,0.27,925,23.53,206664,56.8,28
Audi,e-tron,2021,Sedan,33.6,91.3,141,116,0.39,1063,20.27,112059,69.4,2.5
Mercedes,EQS,2018,Sedan,114.9,88,619,221.4,0.61,1797,20.23,7693,62,34.6
Hyundai,Ioniq 5,2023,SUV,58.6,73.3,261,113.1,0.57,1968,15.96,194125,65.8,24.6
Kia,Niro EV,2020,SUV,49.7,86.7,238,26.5,2.46,1491,15.27,246025,79.9,-8.2
Hyundai,Ioniq 5,2020,SUV,33,80.4,173,173.7,0.23,929,24.81,223527,71.5,1.9
Hyundai,Kona Electric,2018,Hatchback,118.5,82,667,201.8,0.8,386,14.42,20708,90.1,25.6
Audi,e-tron,2021,Sedan,45.7,90.7,218,234.9,0.26,672,14.72,26918,91.4,-1.3
Ford,F-150 Lightning,2015,Sedan,51.8,72.8,300,226.2,0.27,208,15.63,178714,80.8,10.2
Ford,Mustang Mach-E,2015,Hatchback,44.5,97,231,13.2,4.65,298,24.66,204569,41.3,12.4
BMW,i4,2018,SUV,51.4,79.8,282,166.3,0.34,600,16,206163,65.6,2.2
Audi,Q4 e-tron,2020,Hatchback,111.5,83,524,165.2,0.78,1704,14.54,176836,64.9,22.3
BMW,iX,2019,Sedan,109.5,92.4,646,90,1.45,806,24.53,190312,35.3,3.4
BMW,iX,2024,Hatchback,114.3,90.9,587,34.2,3.91,1053,16.66,61958,66.3,32.4
Volkswagen,ID.4,2021,Truck,56.4,94.3,316,218.2,0.28,1729,12.07,115627,85.9,9.8
Nissan,Ariya,2016,Sedan,38.5,87.3,156,122.3,0.38,1348,22.91,232897,32.1,5.2
BMW,i4,2022,Truck,99.3,76.5,520,31.4,4.44,1083,17.35,216810,74.6,38.5
Audi,e-tron,2022,SUV,54.4,83.2,226,17.1,3.38,990,17.57,105235,58.6,12.1
BMW,iX,2023,Truck,89.4,78.4,528,187.4,0.57,989,21.49,209738,47.3,-4
Nissan,Ariya,2015,SUV,58,99.4,252,15.1,4.31,540,18.16,198824,62.5,20.8
Mercedes,EQC,2024,Hatchback,86.3,85.1,493,168.4,0.69,991,24.27,167049,31.9,18.8
BMW,i3,2015,SUV,103,94.6,540,207.1,0.58,1266,14.55,113940,45,-5.3
Mercedes,EQS,2022,SUV,64.7,90.4,302,73.3,1.07,1025,21.06,162164,95.6,30.2
Volkswagen,ID.4,2023,Hatchback,81.2,87.3,443,41.5,2.57,295,16.43,143429,69.3,27.5
Hyundai,Kona Electric,2015,Sedan,78.1,84.9,373,82.1,1.31,1835,12.14,209008,89.3,37.5
Hyundai,Kona Electric,2019,Sedan,38.3,88.1,195,61.8,0.66,1367,22.27,89076,95.2,17.5
Tesla,Model 3,2016,Sedan,117.2,90.6,664,218.2,0.59,1397,21.11,44081,57.8,-5.9
Audi,e-tron,2015,Hatchback,109.2,77.1,635,152.5,0.91,1475,13.09,208196,56.5,35.3
BMW,iX,2016,SUV,72.2,71.7,305,39.1,2.14,1224,20.85,85219,97.4,-5.9
Hyundai,Kona Electric,2024,Hatchback,31.1,99.1,127,224,0.17,402,23.95,96362,78.7,21.5
Volkswagen,ID.4,2019,Sedan,92.7,81.5,507,229.7,0.43,983,23.57,130899,37.5,-0.6
Ford,Mustang Mach-E,2016,SUV,53.9,80.8,243,119.3,0.64,1424,16.02,62043,72.2,35.5
Chevrolet,Bolt EV,2019,SUV,85.2,82.5,499,218,0.55,1342,17.35,66813,86.7,8.8
Hyundai,Kona Electric,2015,Sedan,105.4,84.1,509,76.3,1.93,717,20.99,196172,100,19.3
Audi,e-tron,2017,SUV,52.3,83.5,222,239,0.26,1669,23.42,181615,73.3,-8.9
Chevrolet,Bolt EUV,2017,Hatchback,76.8,95.6,391,145.1,0.58,600,13.74,155830,59.4,25.2
Volkswagen,ID.3,2016,Truck,61.6,87.7,294,115.6,0.58,1531,19.12,192872,84.9,33.1
Volkswagen,ID.4,2022,SUV,105.8,93.1,437,22,5.62,1673,16.27,172658,70.6,-3.6
Tesla,Model S,2020,Sedan,92.8,75.4,500,109.4,0.92,866,20.68,80697,72.1,-1.6
Chevrolet,Bolt EV,2019,Sedan,79.4,86,374,224.7,0.48,1953,20.98,28624,36.5,-5.9
Mercedes,EQC,2015,Hatchback,54.9,94.2,301,55.1,1.32,838,24.01,144789,73.3,26
Hyundai,Kona Electric,2017,Hatchback,94.2,96.9,473,138.2,0.94,1729,16.6,39674,47,-0.9
